"S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","art movement","artist","painting"
3,2,3,1,1,1,2,2,3,1,2,2,2,2,2,4,5,5,4,5,4,3,1,1,5,4,4,2,2,1,1,2,2,5,1,1,3,3,2,2,3,2,1,2,2,4,2,2,"Renaissance","Sandro Botticelli","The Birth of Venus"
2,2,2,4,1,1,2,3,4,3,3,2,4,2,5,3,3,5,2,4,3,3,3,1,2,2,3,4,1,3,1,3,5,5,4,4,2,2,3,4,4,4,4,1,4,2,2,1,"Renaissance","Leonardo da Vinci","Lady with an Ermine"
1,3,3,1,1,1,5,2,1,2,2,1,1,1,1,2,5,4,1,4,1,2,3,1,4,4,5,2,1,1,1,1,2,3,2,2,1,1,1,1,2,1,1,1,4,3,1,3,"Renaissance","Raphael","Three Graces"
5,3,1,1,1,1,3,3,1,1,1,2,2,2,1,3,5,3,5,5,1,2,4,4,1,1,2,1,1,2,1,2,1,4,2,2,2,4,3,3,2,2,3,1,1,3,2,5,"Baroque","Caravaggio","Entombment"
2,2,2,1,1,1,1,2,1,1,1,1,1,2,2,2,5,5,2,3,1,2,3,2,4,2,2,1,1,1,1,1,2,2,3,3,1,1,1,1,2,1,1,2,1,4,2,4,"Baroque","Diego Velazquez","Rokeby Venus"
5,4,4,1,1,1,3,5,2,1,2,2,2,3,3,3,5,5,5,4,3,4,4,5,1,4,5,2,2,2,1,4,3,5,3,3,3,1,1,3,1,2,2,2,3,4,1,5,"Baroque","Rembrandt van Rijn","The Night Watch"
4,5,4,3,2,2,5,5,3,2,4,4,3,5,4,2,4,3,5,5,5,4,2,4,4,3,2,3,2,2,3,2,2,5,4,4,4,1,4,4,4,3,4,1,2,5,3,1,"Neoclassicism","Jacques-Louis David","Napoleon Crossing the Alps"
2,1,1,2,2,3,1,3,2,1,2,2,4,1,2,3,3,3,1,2,1,1,1,2,1,4,4,2,1,2,1,1,1,4,4,4,2,1,3,2,4,3,3,1,3,2,4,1,"Neoclassicism","Jean-Auguste-Dominique Ingres","Mademoiselle Caroline Riviere"
1,2,2,1,1,1,3,3,1,1,1,1,1,2,1,1,5,5,1,2,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,3,3,1,5,"Neoclassicism","Francisco Goya","The Nude Maja"
3,5,5,5,2,2,5,4,4,4,3,4,5,4,5,5,4,5,5,5,4,3,2,5,1,4,3,2,1,3,1,3,5,5,4,4,4,4,2,3,5,5,1,3,4,5,1,5,"Romanticism","Eugene Delacroix","Liberty Leading the People"
2,3,3,1,1,1,5,3,1,2,1,3,1,3,2,2,5,5,5,3,2,2,1,3,2,3,1,2,1,3,1,4,4,4,2,2,3,1,1,1,2,2,1,2,3,4,1,4,"Romanticism","Theodore Gericault","The Raft of the Medusa"
3,2,3,2,4,4,3,5,3,5,3,4,5,5,5,5,2,4,3,5,1,4,2,5,5,5,2,3,4,3,2,2,5,5,3,3,3,3,5,5,2,4,5,4,4,4,3,5,"Romanticism","Caspar David Friedrich","The Cross in the Mountains"
2,1,2,1,1,1,1,2,4,1,4,1,1,2,4,3,5,5,2,2,1,3,4,1,5,4,3,3,1,2,1,3,4,4,3,3,2,2,1,4,2,4,5,3,2,3,3,4,"Impressionism","Edouard Manet","The Luncheon on the Grass"
4,4,4,4,2,1,2,3,2,5,4,4,4,3,5,4,1,5,4,5,4,3,1,4,5,3,5,3,5,5,1,5,5,5,5,4,4,4,4,5,3,5,5,5,5,4,4,4,"Impressionism","Claude Monet","Impression, Sunrise"
5,3,2,4,5,5,3,3,4,3,4,5,4,5,4,4,1,5,2,3,2,3,3,4,1,5,5,3,3,4,4,5,5,5,4,2,3,5,5,5,5,4,5,4,3,2,5,5,"Impressionism","Edgar Degas","Ballet Rehearsal"
2,1,1,5,1,1,1,1,1,2,3,3,2,2,2,1,4,3,2,1,1,2,3,3,3,3,2,4,1,3,1,1,3,4,2,2,3,5,2,2,2,3,4,3,2,2,4,3,"Post-Impressionism","Paul Gauguin","Tahitian Women on the Beach"
3,3,2,5,4,5,3,1,2,5,5,3,5,3,4,5,1,5,3,1,1,2,2,2,1,3,2,4,3,3,5,5,2,5,2,1,4,2,3,3,4,4,5,5,5,3,3,5,"Post-Impressionism","Vincent van Gogh","Sunflowers"
3,1,3,1,1,2,2,1,1,2,5,2,3,4,2,3,5,3,4,4,1,2,3,2,5,5,5,3,3,4,3,1,1,4,2,2,5,3,3,3,4,4,3,4,4,3,3,4,"Post-Impressionism","Paul Cezanne","The Card Players"
1,1,3,1,4,1,1,1,1,3,1,1,1,1,1,1,5,5,2,4,1,3,1,3,5,2,1,4,2,3,1,1,1,1,3,3,2,1,1,1,4,1,4,2,4,2,2,5,"Symbolism","Odilon Redon","The Cyclops"
3,3,5,5,5,1,5,3,1,5,3,2,3,2,4,2,1,5,4,5,1,1,5,5,5,1,1,4,3,3,1,4,1,5,1,1,3,3,1,4,3,4,5,3,5,5,2,1,"Symbolism","Edvard Munch","The Scream"
2,4,2,1,1,2,1,2,1,1,1,1,1,2,1,2,5,3,2,1,1,3,4,2,5,1,2,3,1,4,1,1,2,2,1,2,2,1,3,1,4,1,1,2,1,3,1,5,"Symbolism","Gustave Moreau","Jason and Medea"
4,5,3,5,4,5,5,4,4,4,2,5,4,4,5,4,1,2,5,5,1,2,2,5,5,5,5,5,3,1,5,5,5,5,2,2,3,5,5,5,5,5,4,3,3,4,5,5,"Art Nouveau","Alfonz Mucha","Four Seasons"
5,5,3,5,1,2,1,2,1,5,2,1,2,1,1,3,1,5,1,4,1,1,1,1,5,4,2,5,4,5,1,1,4,4,4,3,3,5,3,1,5,2,5,4,5,3,4,4,"Art Nouveau","Gustav Klimt","The Kiss"
3,1,1,1,2,2,1,3,3,2,4,5,3,3,2,3,5,3,3,5,1,3,1,4,5,2,5,3,1,5,2,4,3,4,1,1,4,5,5,3,3,4,5,2,2,4,3,5,"Art Nouveau","Pierre Bonnard","The Letter"
1,2,3,3,2,3,1,1,1,5,4,1,2,1,5,4,1,5,3,5,1,1,3,5,5,3,3,5,4,3,5,1,3,4,5,3,4,4,2,3,2,4,2,4,4,4,2,5,"Cubism","Pablo Picasso","Guernica"
4,2,2,1,1,3,1,1,1,2,3,2,2,1,1,3,5,2,2,1,1,1,2,3,5,2,1,2,5,3,2,1,2,3,5,3,4,5,4,1,1,3,5,5,3,4,4,4,"Cubism","Georges Braque","Violin and Candlestick"
2,1,2,1,1,1,1,1,1,3,1,1,1,1,1,2,5,2,3,3,1,1,1,3,3,3,1,2,3,2,1,1,2,2,3,4,5,3,1,1,1,2,5,5,2,4,2,5,"Cubism","Juan Gris","Portrait of Picasso"
4,1,2,4,3,3,1,3,1,5,4,2,3,5,5,4,5,4,5,1,3,4,1,5,5,5,5,5,4,2,2,4,4,5,3,3,4,5,3,2,4,2,3,5,5,5,3,5,"Abstract art","Wassily Kandinsky","Moscow. Red Square"
3,1,2,1,1,1,1,1,2,1,1,1,2,1,1,2,2,5,1,5,1,2,1,1,1,5,1,1,3,5,1,1,1,4,1,3,3,1,2,1,1,1,4,1,1,5,3,5,"Abstract art","Piet Mondrian","Composition II in Red, Blue, and Yellow"
1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,5,5,1,5,1,3,1,1,1,1,1,3,1,3,1,2,1,1,1,3,5,1,1,1,1,1,1,4,2,3,2,5,"Abstract art","Kazimir Malevich","Black Square"
4,3,4,3,5,5,2,3,2,5,3,2,1,4,5,4,5,2,5,2,5,4,5,5,4,5,5,5,3,2,5,5,5,5,5,2,5,5,1,3,3,5,5,3,4,5,5,4,"Surrealism","Salvador Dali","The Temptation of St. Anthony"
1,1,3,1,1,1,2,1,1,4,3,1,2,1,3,2,5,2,1,2,2,2,2,1,5,3,2,3,3,5,4,1,2,3,2,2,4,5,4,1,2,2,2,4,2,2,2,5,"Surrealism","Max Ernst","The Hat Makes the Man"
5,2,2,1,4,4,4,2,3,5,4,4,3,3,2,2,1,3,4,4,5,5,1,1,3,5,2,5,2,5,5,4,5,5,3,3,4,3,5,4,2,4,4,4,3,4,2,5,"Surrealism","Rene Magritte","The False Mirror"
2,2,1,1,1,3,4,2,1,4,3,3,3,3,3,2,1,5,2,4,1,3,2,5,5,5,5,4,4,4,4,2,4,4,3,3,3,5,3,3,1,3,5,5,3,3,5,5,"Op art","Victor Vasarely","Zebras"
1,1,3,1,2,2,5,1,3,3,1,1,2,4,1,3,3,3,1,5,1,1,1,1,1,2,4,2,2,2,4,1,2,4,1,1,3,1,1,1,1,1,1,5,3,3,3,3,"Op art","Bridget Riley","Cataract 3"
1,1,2,1,1,1,3,1,1,2,3,1,2,2,1,1,4,2,1,5,1,1,1,1,1,3,3,1,4,1,2,1,1,2,4,4,4,4,1,1,1,1,3,4,2,2,3,5,"Op art","Jesus-Rafael Soto","Color Vertical"
4,3,3,5,5,1,4,3,1,3,3,4,3,4,5,3,1,1,4,3,1,3,2,5,5,2,5,4,3,4,4,1,4,5,3,2,4,2,4,3,4,5,2,5,4,4,5,5,"Pop art","Andy Warhol","Campbell's Soup Cans"
2,2,5,1,2,1,1,3,1,5,2,3,3,2,3,4,5,2,5,5,3,2,1,5,5,5,4,3,4,4,3,3,1,4,2,3,5,3,1,3,2,1,5,5,4,3,4,3,"Pop art","Jasper Johns","0 through 9"
2,1,1,2,1,5,3,3,3,5,4,5,5,5,5,4,5,2,1,1,2,3,1,5,5,5,2,5,1,5,5,5,4,4,2,5,1,5,5,4,4,3,5,5,4,3,5,3,"Pop art","Tony Griffin","Adriana"
